iter	MultiClass
137	1.024942512
138	1.023243481
139	1.021482895
140	1.020298097
141	1.018156344
142	1.016075471
143	1.014221074
144	1.012659523
145	1.011146779
146	1.010215802
147	1.008015473
148	1.006715736
149	1.005129205
150	1.003831687
151	1.002337625
152	1.000775419
153	0.999086065
154	0.9976396194
155	0.9962024841
156	0.9945122405
157	0.993231481
158	0.9920758954
159	0.9904733729
160	0.9886697551
161	0.9873512707
162	0.9861745899
163	0.9845776343
164	0.9835981392
165	0.9820197804
166	0.9805780031
167	0.9790884338
168	0.9779397729
169	0.9762001404
170	0.9749291101
171	0.9737437883
172	0.9727059987
173	0.9711592427
174	0.9700344957
175	0.9691054973
176	0.9672427997
177	0.9660134606
178	0.9644680775
179	0.9627459382
180	0.9613032323
181	0.9601037205
182	0.9588299778
183	0.9576876955
184	0.9566208501
185	0.9552729692
186	0.9541413708
187	0.9529540228
188	0.9517409927
189	0.950475406
190	0.9492145028
191	0.9483356606
192	0.9473444543
193	0.9461744841
194	0.9454767424
195	0.9441953933
196	0.9434148889
197	0.9426147282
198	0.941749785
199	0.9407862357
200	0.9395794456
201	0.9388129753
202	0.9377515718
203	0.9368679146
204	0.9358294786
205	0.9344922367
206	0.933405548
207	0.9323825953
208	0.9311351506
209	0.9302481913
210	0.929354993
211	0.928064731
212	0.9270840566
213	0.9259337525
214	0.9251121909
215	0.9241190401
216	0.9232692079
217	0.9225605259
218	0.9211990238
219	0.9200842896
220	0.9194966109
221	0.9184778318
222	0.9176383024
223	0.9166272955
224	0.9156566899
225	0.9147117127
226	0.9140666849
227	0.9128733649
228	0.9122105813
229	0.911200461
230	0.910261983
231	0.9092769598
232	0.9083056452
233	0.9078745192
234	0.9070781432
235	0.9058835127
236	0.9050421033
237	0.9044225579
238	0.9034895945
239	0.9028172377
240	0.9021523601
241	0.901301283
242	0.9006458252
243	0.8995757718
244	0.8988429543
245	0.8979560785
246	0.8972551767
247	0.8965184994
248	0.8957032718
249	0.8947131653
250	0.8940007513
251	0.8934424625
252	0.8927177961
253	0.8921640839
254	0.891456376
255	0.8907102883
256	0.8902246667
257	0.889495146
258	0.8886991872
259	0.8877935613
260	0.8867843452
261	0.8859177098
262	0.8852973576
263	0.8845143244
264	0.8837003157
265	0.8830017416
266	0.8824319108
267	0.8817581896
268	0.8810733571
269	0.8803656523
270	0.8793796888
271	0.878639817
272	0.8779675931
273	0.877409729
274	0.8766231518
275	0.8755056883
276	0.8745429422
277	0.8738470723
278	0.8732707022
279	0.872262692
280	0.8715848831
281	0.8707614122
282	0.870369961
283	0.8697806868
284	0.868829599
285	0.8681771548
286	0.8675950286
287	0.8672572754
288	0.8669652878
289	0.8659308174
290	0.8653551141
291	0.8644762258
292	0.8641628093
293	0.8635163755
294	0.8627445225
295	0.8622106706
296	0.8615777656
297	0.8608419733
298	0.8600769059
299	0.8591692546
300	0.8590030015
301	0.8586148231
302	0.8579998139
303	0.8576316187
304	0.8569323526
305	0.8561735149
306	0.8553420749
307	0.854955902
308	0.8542740756
309	0.8539877907
310	0.8537248922
311	0.8531982345
312	0.852662936
313	0.8522043821
314	0.8517484385
315	0.8511801289
316	0.850296281
317	0.8496165036
318	0.8491257814
319	0.8485253983
320	0.8475974292
321	0.8470779922
322	0.8467536547
323	0.8461422906
324	0.8456807487
325	0.8451436759
326	0.8445796351
327	0.8437966478
328	0.8433724927
329	0.842703754
330	0.8421713412
331	0.841439623
332	0.8409369612
333	0.8404900001
334	0.840239881
335	0.8395223823
336	0.83898009
337	0.8382391888
338	0.8376358444
339	0.8368955752
340	0.8366788576
341	0.8361263134
342	0.835699042
343	0.8351505202
344	0.8346780075
345	0.8341157961
346	0.8333836785
347	0.8330522026
348	0.8324942637
349	0.8318310263
350	0.8313469541
351	0.8307985293
352	0.8302798692
353	0.8298531876
354	0.8290851195
355	0.8285997621
356	0.8279732564
357	0.8274614254
358	0.8271941665
359	0.8266990706
360	0.8262115997
361	0.8258531476
362	0.8252018001
363	0.8245926898
364	0.8239017409
365	0.8234161827
366	0.8227918707
367	0.8223217752
368	0.8219315283
369	0.8211834598
370	0.8207266084
371	0.8203488482
372	0.8200837323
373	0.819305805
374	0.8188484039
375	0.8181051413
376	0.8176222051
377	0.8170779467
378	0.8167414635
379	0.8163908181
380	0.815971438
381	0.8157711161
382	0.8153643539
383	0.8149744783
384	0.8145171034
385	0.8141333591
386	0.8135850883
387	0.8130492152
388	0.8127669079
389	0.8122419439
390	0.8115144537
391	0.8109286354
392	0.8102411368
393	0.809554993
394	0.8093011368
395	0.8086479994
396	0.8081205754
397	0.8075183197
398	0.8071070485
399	0.8064986128
400	0.8057169105
401	0.8053195686
402	0.8047872885
403	0.8044733141
404	0.803867138
405	0.8034574815
406	0.8031816696
407	0.8028173392
408	0.8021983761
409	0.8019571635
410	0.8017165754
411	0.8012831157
412	0.8008379509
413	0.8005241117
414	0.7999983922
415	0.7994236681
416	0.7991226309
417	0.7987458786
418	0.7984158764
419	0.7977747004
420	0.7974250045
421	0.7967681721
422	0.7963305191
423	0.7960075563
424	0.7957289258
425	0.7952891017
426	0.7948116214
427	0.7943599362
428	0.7940595993
429	0.7933281133
430	0.7929003516
431	0.792584403
432	0.7919829327
433	0.7915449781
434	0.7911052986
435	0.7906159626
436	0.790272079
437	0.789795261
438	0.7894580289
439	0.7890221329
440	0.7887683252
441	0.7884564672
442	0.7879719344
443	0.7873285329
444	0.7869103509
445	0.7863781624
446	0.7861437693
447	0.7858965042
448	0.7855061874
449	0.7851833499
450	0.7848855618
451	0.7847443636
452	0.7844281217
453	0.7841013622
454	0.7836774195
455	0.7833563345
456	0.7827935643
457	0.7824579712
458	0.7820658197
459	0.7817662803
460	0.7812551445
461	0.7806667601
462	0.7805206789
463	0.7801883668
464	0.7797337585
465	0.7791987076
466	0.7790580499
467	0.7788523665
468	0.7785201576
469	0.7780412003
470	0.7773896898
471	0.7768724766
472	0.7764784688
473	0.7761571511
474	0.7756846155
475	0.7754721264
476	0.7750695634
477	0.774459721
478	0.7741555657
479	0.7736975414
480	0.7734948271
481	0.7731702429
482	0.7729025718
483	0.7724667929
484	0.7720155102
485	0.7717512104
486	0.7716135661
487	0.7712585868
488	0.7711058298
489	0.7705250538
490	0.7701590574
491	0.7697609322
492	0.7693302025
493	0.7690727736
494	0.7687429457
495	0.7682940271
496	0.7679083462
497	0.7676105438
498	0.7671901734
499	0.7668593559
500	0.7666918897
501	0.7662153523
502	0.7658675168
503	0.7653982253
504	0.7649765003
505	0.7647379198
506	0.7645507729
507	0.7643583187
508	0.7640779528
509	0.7638332492
510	0.7634237655
511	0.7631376519
512	0.762837511
513	0.7623976585
514	0.7620766899
515	0.7618649645
516	0.7614439022
517	0.761275468
518	0.761013937
519	0.7606289778
520	0.7601478512
521	0.7595382232
522	0.7592448034
523	0.7590574879
524	0.7588608576
525	0.7585849114
526	0.7582368545
527	0.7580323277
528	0.7576199643
529	0.7574145298
530	0.7571089887
531	0.7569399142
532	0.7565937131
533	0.7563998695
534	0.7560798375
535	0.7557889748
536	0.7552382464
537	0.754814806
538	0.7545530792
539	0.7542501054
540	0.7538548532
541	0.7536512971
542	0.7533446477
543	0.7531875114
544	0.7529573015
545	0.7526863555
546	0.7522421399
547	0.7518087642
548	0.7515803111
549	0.7512853599
550	0.7508545027
551	0.7506709046
552	0.7503686338
553	0.7500655517
554	0.7499060211
555	0.7496461292
556	0.7492105722
557	0.7488697143
558	0.748503588
559	0.7482174757
560	0.7480542964
561	0.7478586229
562	0.7474568839
563	0.7470597385
564	0.7466703842
565	0.7464030673
566	0.7458160848
567	0.7455376875
568	0.7452613122
569	0.7449273074
570	0.7446149956
571	0.7442132046
572	0.7437435629
573	0.7432221753
574	0.7427358719
575	0.7424762652
576	0.7420621369
577	0.7416273669
578	0.7412823306
579	0.740916478
580	0.74054677
581	0.7403997576
582	0.7399353661
583	0.7396321
584	0.7394592953
585	0.7391885686
586	0.738830986
587	0.7384431427
588	0.738176928
589	0.7378393093
590	0.7376188383
591	0.7372156356
592	0.7368719701
593	0.7365910629
594	0.736295523
595	0.7359671194
596	0.7355081303
597	0.7350989201
598	0.7348736096
599	0.7345633228
600	0.7342054962
601	0.7339485871
602	0.7336511273
603	0.7335351859
604	0.7330341424
605	0.7327802784
606	0.7323227279
607	0.7321114567
608	0.7317212639
609	0.7313822401
610	0.7310474668
611	0.7307791054
612	0.7305485863
613	0.7302106202
614	0.7298266809
615	0.7294458556
616	0.7290246958
617	0.7287111065
618	0.7283175603
619	0.7280610308
620	0.7278115308
621	0.7274439943
622	0.7271699448
623	0.7266594083
624	0.726324477
625	0.7260279478
626	0.7257341504
627	0.725417962
628	0.7251428609
629	0.7249126363
630	0.724566239
631	0.7242639249
632	0.7239836436
633	0.7236603093
634	0.7231989548
635	0.7228968784
636	0.7226144173
637	0.7221846978
638	0.7217775101
639	0.7213450358
640	0.7209302014
641	0.7207960185
642	0.7204727903
643	0.7200753743
644	0.7197887154
645	0.7196232285
646	0.7193805968
647	0.719160444
648	0.7189183694
649	0.7186602616
650	0.718520838
651	0.718273576
652	0.7180380882
653	0.7176841705
654	0.7173160389
655	0.7170499249
656	0.7166725495
657	0.7164348453
658	0.7160123023
659	0.7157153569
660	0.7154045707
661	0.715047211
662	0.7146588475
663	0.7143296155
664	0.7142419189
665	0.7138365399
666	0.7136369381
667	0.7133912594
668	0.7132279499
669	0.7129010036
670	0.7124720384
671	0.7122760649
672	0.7119758994
673	0.711699598
674	0.7114156167
675	0.7110832317
676	0.7108712248
677	0.710549839
678	0.7101865208
679	0.7098204019
680	0.7095887166
681	0.7092763722
682	0.70891931
683	0.7086886715
684	0.70849171
685	0.7083082654
686	0.7080315268
687	0.7077112177
688	0.7074970958
689	0.7072419426
690	0.7068647868
691	0.7066658873
692	0.7063622416
693	0.7060129881
694	0.7055237462
695	0.705333044
696	0.7051148605
697	0.7049826559
698	0.7046739637
699	0.7043367615
700	0.7039545808
701	0.7036570152
702	0.7033415113
703	0.7030686621
704	0.7029228337
705	0.7025862209
706	0.7022562883
707	0.7019265866
708	0.7017057003
709	0.7013619932
710	0.7011781116
711	0.7007528131
712	0.7003009419
713	0.7000851945
714	0.6997216148
715	0.6994267034
716	0.6993014666
717	0.6989419658
718	0.6985715475
719	0.6982428382
720	0.6979356804
721	0.6975828234
722	0.6971164475
723	0.6969195735
724	0.6965956424
725	0.6963065237
726	0.6960456562
727	0.6957226569
728	0.6955308245
729	0.6953833771
730	0.6951594816
731	0.6948252743
732	0.6945412364
733	0.6942720051
734	0.6940234719
735	0.693655361
736	0.6933694914
737	0.6931270053
738	0.6929034766
739	0.6926045001
740	0.6923207832
741	0.6921858195
742	0.691723714
743	0.6913636947
744	0.6911328993
745	0.6908253002
746	0.6905486326
747	0.6903034009
748	0.6901443382
749	0.6898520481
750	0.6896129225
751	0.6894576555
752	0.6891673219
753	0.6889983936
754	0.6888202499
755	0.6884963029
756	0.688285673
757	0.6879929678
758	0.687845777
759	0.6875127131
760	0.6871462039
761	0.6868790185
762	0.6864699471
763	0.6861660596
764	0.6858877847
765	0.6855421892
766	0.6852595712
767	0.6849640325
768	0.6847178745
769	0.6843720069
770	0.6841023168
771	0.6838923103
772	0.6835877115
773	0.6833587263
774	0.6831193402
775	0.6829358191
776	0.6827626413
777	0.6825458653
778	0.6822118658
779	0.6818287533
780	0.6815157126
781	0.6811968132
782	0.6810527032
783	0.6808036829
784	0.6806712312
785	0.6804531115
786	0.6801537991
787	0.6798739764
788	0.6795543183
789	0.6793139722
790	0.6789971447
791	0.6787001904
792	0.6783651855
793	0.6782342712
794	0.6780352355
795	0.6777242062
796	0.6775172048
797	0.6773397794
798	0.6770423435
799	0.6768299893
800	0.676720209
801	0.6765265258
802	0.6762097527
803	0.6759492784
804	0.6757027877
805	0.6753655657
806	0.6750528023
807	0.6747876837
808	0.6746632158
809	0.6743834744
810	0.674090043
811	0.673821554
812	0.6736330428
813	0.6732204789
814	0.672915759
815	0.6725029642
816	0.6722530526
817	0.6719998341
818	0.6718838024
819	0.6715628308
820	0.6711404022
821	0.6708105043
822	0.6706662559
823	0.6703060261
824	0.6701766503
825	0.6698793434
826	0.6696521942
827	0.6692708844
828	0.6690107884
829	0.6687647881
830	0.6684768814
831	0.6681273113
832	0.6678340027
833	0.6675257853
834	0.667264176
835	0.667096862
836	0.6668552709
837	0.6666408717
838	0.6664042494
839	0.6661020609
840	0.6658547007
841	0.6655542747
842	0.6652853654
843	0.6649784699
844	0.6648364243
845	0.6644925584
846	0.6642207297
847	0.6638499891
848	0.6636396303
849	0.6634141446
850	0.6632763541
851	0.6631061813
852	0.6629534587
853	0.6627356465
854	0.6623960329
855	0.662254018
856	0.6620723459
857	0.6618607581
858	0.6616213166
859	0.6614234922
860	0.6612624928
861	0.661074156
862	0.6607614478
863	0.6605657528
864	0.660317986
865	0.6600484333
866	0.6597502981
867	0.6594967019
868	0.6591679249
869	0.6590609612
870	0.6588887666
871	0.6586124905
872	0.6584651237
873	0.6583257734
874	0.6581797267
875	0.6578932681
876	0.6576776631
877	0.6573655472
878	0.6571316091
879	0.6569653092
880	0.6569083945
881	0.6566026456
882	0.6563482446
883	0.6561478657
884	0.6559489002
885	0.6556481119
886	0.6552836231
887	0.6551468436
888	0.6549849452
889	0.6547823826
890	0.6546708791
891	0.6544468712
892	0.6541221999
893	0.6539879053
894	0.6536850222
895	0.6535551585
896	0.6533980417
897	0.6531186919
898	0.6528393667
899	0.6527144889
900	0.6524790685
901	0.6523057187
902	0.6520908716
903	0.6518044859
904	0.6516803333
905	0.6514128978
906	0.6511023122
907	0.6507292836
908	0.6504787728
909	0.6502853375
910	0.6500453407
911	0.6498529361
912	0.649651237
913	0.6493740743
914	0.6492143204
915	0.6488990342
916	0.6486995795
917	0.6485170071
918	0.6482082701
919	0.6479677479
920	0.6477892257
921	0.6475171995
922	0.6473332736
923	0.6469878522
924	0.6468193793
925	0.6465506229
926	0.6462933811
927	0.6461204131
928	0.6459225103
929	0.645716968
930	0.6454140113
931	0.6453030558
932	0.6450935622
933	0.6448612139
934	0.6446163555
935	0.6442979862
936	0.6440206981
937	0.6438597846
938	0.6435872078
939	0.6435083433
940	0.6433563631
941	0.6431730763
942	0.6429201134
943	0.6426779096
944	0.6425067865
945	0.6422744723
946	0.6420218428
947	0.6418912892
948	0.6415475455
949	0.6413750124
950	0.6412491886
951	0.6410469885
952	0.6408014437
953	0.6406129551
954	0.640459524
955	0.6403296724
956	0.6401537274
957	0.6400057055
958	0.6396515273
959	0.6393690513
960	0.6390629778
961	0.6387977481
962	0.6384618512
963	0.6382639576
964	0.6380654249
965	0.6377659817
966	0.6375313332
967	0.6371827598
968	0.6370038116
969	0.6367473103
970	0.6365569745
971	0.6362544715
972	0.6359311176
973	0.6356546975
974	0.6353371609
975	0.6351540877
976	0.6348724999
977	0.6347221682
978	0.634589718
979	0.6342899278
980	0.6340432782
981	0.633869737
982	0.6337007677
983	0.6333714512
984	0.6330622315
985	0.6326757097
986	0.6325852402
987	0.6324045772
988	0.6320935899
989	0.6318678434
990	0.6314871942
991	0.631359669
992	0.6311079489
993	0.6308287981
994	0.630721259
995	0.6306252422
996	0.6302293438
997	0.6300380539
998	0.6298385948
999	0.6296049271
